dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
m4_monthly/M/short,Timer-S1,2086517.5242222222,2086517.5242222222,616.7397965856482,1.0405047283865287,0.18099598633801495,0.14560644382900662,8.960095761051432,1444.4782879026677,0.3002121778630191,0.12817970270540258,0.10284557983172225,Econ/Fin,1
m4_quarterly/Q/short,Timer-S1,1941950.0653333333,1941950.0653333333,602.8905234375,1.3097686068650647,0.12109127362569173,0.11008503707249959,10.688720076361239,1393.538684548561,0.2332538363745976,0.10091325706630261,0.08092303174096527,Econ/Fin,1
m4_weekly/W/short,Timer-S1,302348.6436683094,302348.6436683094,281.00016070280697,2.3636441233580774,0.06872633792410475,0.06683736719001099,18.741236094174393,549.8623861188446,0.10017640534699795,0.05119387452527411,0.040966599292676126,Econ/Fin,1
m4_yearly/A/short,Timer-S1,4300086.478279795,4300086.478279795,1013.4160264501901,3.8477423322815754,0.18671020147386097,0.17247309662199092,39.62182406557266,2073.664986992787,0.3325217928143261,0.16250595737293022,0.13375726585211756,Econ/Fin,1
restaurant/D/short,Timer-S1,139.78317922854208,139.78317922854208,7.178444884187915,0.6882932156761078,0.7130152605334127,0.39597060115461846,4.604956340767927,11.82299366609583,0.5441215621148174,0.3303686658600117,0.258147827013955,Sales,1
saugeen/D/short,Timer-S1,1130.03625,1130.03625,12.2495947265625,2.721250304640324,0.2547590637207031,0.30553192138671875,24.98868092172287,33.61601180985038,1.0888306320541723,0.396767291848172,0.31580615794897327,Nature,1
saugeen/M/short,Timer-S1,405.8852771577381,405.8852771577381,13.15690685453869,0.7708597350568673,0.3940592720395043,0.3801398504348028,5.057169922248855,20.14659467894607,0.6048612114799249,0.3950098141241363,0.3057828767129149,Nature,1
saugeen/W/short,Timer-S1,986.587109375,986.587109375,14.46182861328125,1.1732399053338107,0.3444711208343506,0.3759324073791504,10.95490676135947,31.409984230734658,0.9481364922021593,0.4365423220686728,0.34754557259360747,Nature,1
solar/10T/short,Timer-S1,20.343643552311434,20.343643552311434,1.8593175883420772,0.8162954214820578,5.021708209867445,1.5014265594111162,3.960226913767796,4.510392837914613,1.3120727881041527,0.5408752850971209,0.41235511078698517,Energy,1
solar/10T/medium,Timer-S1,22.86641506303915,22.86641506303915,1.9276909146206591,0.8413041080885655,4.054618477167759,1.4477360857664234,5.285563360114212,4.781884049518469,1.0611190203719476,0.42776225306177357,0.32793324989317596,Energy,1
solar/10T/long,Timer-S1,19.5416837743309,19.5416837743309,1.8136648854103306,0.7916740599247505,3.648547656062887,1.4429069822238696,4.483070816009571,4.4205976716198565,0.9554413688324246,0.3919946101054642,0.305864250406228,Energy,1
solar/D/short,Timer-S1,139386.64330900242,139386.64330900242,258.52457420924577,1.0081635995503362,1.1303644407694646,0.43063124310941303,5.468361465246499,373.3452066238462,0.5393566605604937,0.3734799551311991,0.2849450434667545,Energy,1
solar/H/short,Timer-S1,569.5073472915866,569.5073472915866,9.522925520633244,0.7348297238438429,3.753315024583589,1.3896203624223653,4.689494410727088,23.864353066688956,0.8796480265172274,0.3510182160600178,0.2776600846580634,Energy,1
solar/H/medium,Timer-S1,494.87189781021897,494.87189781021897,9.126784899635037,0.6996637439097979,3.3841433729682047,1.3840478159215328,5.288006870154914,22.24571639238033,0.8013426262097021,0.3287680941050609,0.26401705375273915,Energy,1
solar/H/long,Timer-S1,422.2750608272506,422.2750608272506,8.359058191403081,0.6349679803723632,3.585722066556398,1.3684317657643958,5.857186240489869,20.54933236938005,0.7124828033404487,0.28982378144660303,0.23748965202164068,Energy,1
solar/W/short,Timer-S1,1168150.0729927006,1168150.0729927006,876.2182937956204,0.9507807929634338,0.18972313317069173,0.17338932343643076,5.778252626473908,1080.8099152916302,0.22062032529248946,0.17885806030217577,0.12769209001238938,Energy,1
temperature_rain/D/short,Timer-S1,190.11387582455208,190.11387582455208,5.838738947562403,1.3581226279770562,16.29386503549308,1.5221739583434413,20.534877097581788,13.788178843652707,1.6232331798462338,0.6873739378936715,0.5532119079931062,Nature,1
us_births/D/short,Timer-S1,129723.94666666667,129723.94666666667,235.480625,0.3469597282143685,0.022654104232788085,0.022401615778605142,2.953074771671575,360.1721070081173,0.03376321240393728,0.022074397778692283,0.017681367443148716,Healthcare,1
us_births/M/short,Timer-S1,73762304.0,73762304.0,6989.079427083333,0.7881405730666607,0.021551589171091717,0.021897345781326294,3.830965413138351,8588.498355358754,0.02667581733610225,0.021708033049579287,0.01665210453757851,Healthcare,1
us_births/W/short,Timer-S1,2687697.4285714286,2687697.4285714286,1232.9203404017858,1.1209844876696804,0.01670002192258835,0.016670180218560354,6.563836502686576,1639.4198451194338,0.022254963645124984,0.01673677272765838,0.013141214676637217,Healthcare,1
